"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identificationID","name","occurrenceRemarks","informationWithheld","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","elevation","elevationAccuracy","depth","depthAccuracy","waterBody","locality","type","occurrenceStatus","ownerInstitutionCode","samplingProtocol","datasetID","nameAccordingTo","identifiedBy","georeferenceSources","vernacularName","higherGeography","language","higherClassification","individualCount","recordNumber","institutionID","island","endDayOfYear","fieldNumber","preparations","startDayOfYear","habitat","nomenclaturalCode","eventRemarks","verbatimDepth","otherCatalogNumbers","county","organismQuantity","organismQuantityType","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","eventID","http...rs.tdwg.org.dwc.terms.organismQuantity","footprintWKT","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","locationID","http...rs.tdwg.org.dwc.terms.organismQuantityType","georeferenceProtocol","islandGroup","dataGeneralizations","taxonConceptID","created","associatedSequences","identificationRemarks","establishmentMeans","continent","georeferenceVerificationStatus","bibliographicCitation","accessRights"
"1","2557795028","Amphiprion ocellaris Cuvier, 1830",4.576259,118.948945,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:48:28.360+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-01-14T16:36:06",1000,"Sabah",2020,1,12,"2020-01-12T10:57:00","2020-04-14T03:55:06.000+0000","2020-05-15T09:48:28.360+0000","https://www.inaturalist.org/observations/37588322","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","MY","none","none","Malaysia","tracc","37588322","tracc","2020/01/12 10:57 AM +0800","iNaturalist research-grade observations","Mataking Island, Sabah, Malaysia","2557795028","Observations","https://www.inaturalist.org/observations/37588322","132688","tracc","37588322","https://www.inaturalist.org/observations/37588322","iNaturalist","© tracc some rights reserved","02:57:00Z","83566383","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2563617035","Amphiprion ocellaris Cuvier, 1830",4.595825,118.86434,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:48:30.968+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-01-27T15:03:09",577,"Sabah",2020,1,11,"2020-01-11T09:32:00","2020-04-14T03:54:08.000+0000","2020-05-15T09:48:30.968+0000","https://www.inaturalist.org/observations/38027203","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","MY","none","none","Malaysia","tracc","38027203","tracc","2020/01/11 9:32 AM +0800","iNaturalist research-grade observations","Pulau Pom Pom, Sabah, Malaysia","2563617035","Observations","https://www.inaturalist.org/observations/38027203","132688","tracc","38027203","https://www.inaturalist.org/observations/38027203","iNaturalist","© tracc some rights reserved","01:32:00Z","85112807","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2573806546","Amphiprion ocellaris Cuvier, 1830",9.58289,123.834343,"gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:48:35.022+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-01-31T06:44:44",NA,"Bohol",2020,1,5,"2020-01-05T12:22:00","2020-04-14T03:52:55.000+0000","2020-05-15T09:48:35.022+0000","https://www.inaturalist.org/observations/38138424","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","PH","none","none","Philippines","Ryan Yue Wah Chan","38138424","ryanyuewahchan","2020/01/05 12:22 PM HKT","iNaturalist research-grade observations","San Isidro, Dauis, Bohol, <U+83F2><U+5F8B><U+8CD3>","2573806546","Observations","https://www.inaturalist.org/observations/38138424","132688","Ryan Yue Wah Chan","38138424","https://www.inaturalist.org/observations/38138424","iNaturalist","© Ryan Yue Wah Chan some rights reserved","04:22:00Z","85464432","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2579232187","Amphiprion ocellaris Cuvier, 1830",7.215753,99.060883,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:48:50.921+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-03-09T01:36:36",NA,"Trang",2020,1,14,"2020-01-14T22:11:00","2020-04-14T03:39:30.000+0000","2020-05-15T09:48:50.921+0000","https://www.inaturalist.org/observations/39734015","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","TH","none","none","Thailand","rolandwirth","39734015","rolandwirth","2020/01/14 10:11 PM AKST","iNaturalist research-grade observations","Kantrang, Mu Ko Lanta, Trang, Thailand","2579232187","Observations","https://www.inaturalist.org/observations/39734015","132688","rolandwirth","39734015","https://www.inaturalist.org/observations/39734015","iNaturalist","© rolandwirth some rights reserved","07:11:00Z","89756255","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2580333159","Amphiprion ocellaris Cuvier, 1830",7.202503,99.064325,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:47:23.772+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-03-19T19:05:42",NA,"Trang",2020,1,14,"2020-01-14T18:25:00","2020-04-14T03:38:51.000+0000","2020-05-15T09:47:23.772+0000","https://www.inaturalist.org/observations/40247079","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","TH","none","none","Thailand","rolandwirth","40247079","rolandwirth","2020/01/14 6:25 PM AKST","iNaturalist research-grade observations","Kantrang, Mu Ko Lanta, Trang, Thailand","2580333159","Observations","https://www.inaturalist.org/observations/40247079","132688","rolandwirth","40247079","https://www.inaturalist.org/observations/40247079","iNaturalist","© rolandwirth some rights reserved","03:25:00Z","91059003","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2573883824","Amphiprion ocellaris Cuvier, 1830",6.541091,99.276124,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:47:34.301+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-02-23T15:45:15",6292,"Satun",2020,2,9,"2020-02-09T13:44:00","2020-04-14T03:48:30.000+0000","2020-05-15T09:47:34.301+0000","https://www.inaturalist.org/observations/39083244","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","TH","none","none","Thailand","Nans","39083244","langzi","2020/02/09 1:44 PM CST","iNaturalist research-grade observations","Kawthoung, Myanmar (Burma)","2573883824","Observations","https://www.inaturalist.org/observations/39083244","132688","Nans","39083244","https://www.inaturalist.org/observations/39083244","iNaturalist","© Nans some rights reserved","05:44:00Z","88087146","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2579221426","Amphiprion ocellaris Cuvier, 1830",6.484403,99.312179,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:48:20.831+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-04-14T13:19:14",63,"Satun",2020,2,2,"2020-02-02T16:42:39","2020-04-14T13:19:14.000+0000","2020-05-15T09:48:20.831+0000","https://www.inaturalist.org/observations/39835731","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","TH","none","none","Thailand","the_kniebe","39835731","the_kniebe","2020-02-02 4:42:39 PM GMT+07:00","iNaturalist research-grade observations","Satun 91000, Thailand","2579221426","Observations","https://www.inaturalist.org/observations/39835731","132688","the_kniebe","39835731","https://www.inaturalist.org/observations/39835731","iNaturalist","© the_kniebe some rights reserved","09:42:39Z","95410033","Amphiprion ocellaris Cuvier, 1830","Spotted while snorkelling at Koh Lipe, Thailand. Quite aggressvie. Assume protective over their territory.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2609266792","Amphiprion ocellaris Cuvier, 1830",1.46072,125.224347,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:47:26.374+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2020-04-23T10:12:16",62,"Sulawesi Utara",2020,2,23,"2020-02-23T00:00:00","2020-04-23T14:57:28.000+0000","2020-05-15T09:47:26.374+0000","https://www.inaturalist.org/observations/42939349","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","ID","none","none","Indonesia","Dan Schofield","42939349","djscho","2020/02/23 3:42 PM UTC","iNaturalist research-grade observations","Bitung, Bitung City, North Sulawesi, Indonesia","2609266792","Observations","https://www.inaturalist.org/observations/42939349","132688","Dan Schofield","42939349","https://www.inaturalist.org/observations/42939349","iNaturalist","© Dan Schofield some rights reserved",NA,"97092053","Amphiprion ocellaris Cuvier, 1830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2005314553","Amphiprion ocellaris Cuvier, 1830",-0.568656,130.662618,"gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:47:22.870+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2019-02-11T13:55:54",123,"Papua Barat",2019,1,8,"2019-01-08T08:50:56","2020-04-14T04:41:07.000+0000","2020-05-15T09:47:22.870+0000","https://www.inaturalist.org/observations/20279519","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","ID","none","none","Indonesia","Lesley Clements","20279519","lovelyclemmy","2019-01-08 08:50:56","iNaturalist research-grade observations","Sawandarek, Raja Ampat, Papua, Indonesia","2005314553","Observations","https://www.inaturalist.org/observations/20279519","132688","Lesley Clements","20279519","https://www.inaturalist.org/observations/20279519","iNaturalist","© Lesley Clements some rights reserved","00:50:56Z","45031826","Amphiprion ocellaris Cuvier, 1830","False Clown Anemonefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2005329721","Amphiprion ocellaris Cuvier, 1830",-0.496311,130.728898,"gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-05-14T20:57:43.527+0000","2020-05-15T09:48:08.407+0000",216,"none","HUMAN_OBSERVATION",5212106,1,44,204,587,4499,2357171,5212106,5212106,"Amphiprion ocellaris Cuvier, 1830","Animalia","Chordata","Perciformes","Pomacentridae","Amphiprion","Amphiprion ocellaris","Amphiprion","ocellaris","SPECIES","ACCEPTED","2019-02-13T14:36:43",305,"Papua Barat",2019,1,8,"2019-01-08T17:33:19","2020-04-14T04:40:59.000+0000","2020-05-15T09:48:08.407+0000","https://www.inaturalist.org/observations/20320502","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Actinopterygii","ID","none","none","Indonesia","Lesley Clements","20320502","lovelyclemmy","2019-01-08 17:33:19","iNaturalist research-grade observations","Mioskon, Raja Ampat, Papua, Indonesia","2005329721","Observations","https://www.inaturalist.org/observations/20320502","132688","Lesley Clements","20320502","https://www.inaturalist.org/observations/20320502","iNaturalist","© Lesley Clements some rights reserved","09:33:19Z","45173328","Amphiprion ocellaris Cuvier, 1830","False Clown Anemonefish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
