Column,scientificName,decimalLatitude,decimalLongitude
1,Hippocampus kuda,1.489402,125.237548
2,Hippocampus kuda,1.489476,125.237623
3,Aetobatus narinari,17.869266,-87.840769
4,Aetobatus narinari,27.795904,-82.540135
5,Paracanthurus hepatus,4.595825,118.86434
6,Forcipiger flavissimus,4.595825,118.86434
7,Forcipiger flavissimus,4.576259,118.948945
8,Amphiprion ocellaris,4.576259,118.948945
9,Aetobatus narinari,17.697703,-88.18989
10,Forcipiger flavissimus,4.311375,73.485031
11,Forcipiger flavissimus,-18.287067,147.699192
12,Paracanthurus hepatus,-18.287067,147.699192
13,Aetobatus narinari,27.678216,-82.561521
14,Forcipiger flavissimus,-9.575462,147.282162
15,Aetobatus narinari,27.798249,-82.448305
16,Amphiprion ocellaris,4.595825,118.86434
17,Amphiprion ocellaris,9.58289,123.834343
18,Hippocampus kuda,1.487098,125.254457
19,Amphiprion ocellaris,7.215753,99.060883
20,Hippocampus kuda,1.486944,125.254549
21,Amphiprion ocellaris,7.202503,99.064325
22,Paracanthurus hepatus,4.595825,118.86434
23,Amphiprion ocellaris,6.541091,99.276124
24,Aetobatus narinari,26.68766,-80.023272
25,Forcipiger flavissimus,19.637768,-155.998112
26,Aetobatus narinari,13.484025,-87.783864
27,Forcipiger flavissimus,21.275032,-157.684571
28,Aetobatus narinari,16.425192,-88.350989
29,Aetobatus narinari,27.647843,-82.405725
30,Aetobatus narinari,16.425972,-88.269364
31,Aetobatus narinari,13.289623,-87.471788
32,Forcipiger flavissimus,19.47918,-155.933226
33,Aetobatus narinari,18.173672,-65.547194
34,Aetobatus narinari,16.759565,-87.656284
35,Hippocampus kuda,21.621803,-157.914881
36,Forcipiger flavissimus,-7.977222,39.747778
37,Amphiprion ocellaris,6.484403,99.312179
38,Forcipiger flavissimus,19.637372,-155.998609
39,Hippocampus kuda,17.745222,-88.025852
40,Forcipiger flavissimus,19.638018,-155.997735
41,Aetobatus narinari,16.548496,-88.219088
42,Aetobatus narinari,10.779571,-85.679819
43,Aetobatus narinari,-0.642008,-89.56358
44,Aetobatus narinari,-0.821768,-89.792955
45,Aetobatus narinari,-0.923828,-89.623458
46,Amphiprion ocellaris,1.46072,125.224347
47,Forcipiger flavissimus,19.42438,-155.912949
48,Aetobatus narinari,24.712693,-81.315784
49,Aetobatus narinari,25.028385,-77.381698
50,Aetobatus narinari,16.271844,-86.507298
51,Aetobatus narinari,26.563086,-80.129253
52,Aetobatus narinari,27.711658,-82.623608
53,Forcipiger flavissimus,-14.66914,145.65965
54,Hippocampus kuda,-4.65794,39.379935
55,Hippocampus kuda,-4.657739,39.379445
56,Hippocampus kuda,-4.657935,39.380023
57,Hippocampus kuda,-4.657743,39.379487
58,Hippocampus kuda,-4.657832,39.379569
59,Forcipiger flavissimus,4.595825,118.86434
60,Forcipiger flavissimus,-21.262139,-159.726338
61,Forcipiger flavissimus,-12.390563,43.704767
62,Hippocampus kuda,-4.659711,39.382858
63,Aetobatus narinari,25.635282,-80.312574
64,Hippocampus kuda,22.580601,114.242604
65,Aetobatus narinari,23.201539,-106.446371
66,Forcipiger flavissimus,19.736785,-155.014067
67,Aetobatus narinari,25.737468,-80.237175
68,Aetobatus narinari,25.601629,-80.068036
69,Forcipiger flavissimus,19.469602,-155.922289
70,Aetobatus narinari,25.907869,-80.095845
71,Aetobatus narinari,25.976954,-81.77289
72,Aetobatus narinari,25.771816,-80.076968
73,Aetobatus narinari,25.701247,-80.098611
74,Forcipiger flavissimus,19.732756,-156.05672
75,Aetobatus narinari,18.34441,-65.494379
76,Aetobatus narinari,18.615988,-87.733153
77,Aetobatus narinari,20.528954,-86.921217
78,Aetobatus narinari,25.97097,-80.060424
79,Forcipiger flavissimus,13.472196,144.703588
80,Aetobatus narinari,25.759361,-80.16387
81,Aetobatus narinari,17.275776,-62.611564
82,Forcipiger flavissimus,-0.473204,130.695626
83,Amphiprion ocellaris,-0.568656,130.662618
84,Hippocampus kuda,-0.44859,130.802644
85,Amphiprion ocellaris,-0.496311,130.728898
86,Amphiprion ocellaris,-0.593243,130.292688
87,Forcipiger flavissimus,-21.625844,165.368408
88,Amphiprion ocellaris,7.746774,98.620468
89,Amphiprion ocellaris,-2.123524,130.303014
90,Hippocampus kuda,1.481388,125.252778
91,Hippocampus kuda,1.460671,125.23972
92,Aetobatus narinari,18.281068,-64.977556
93,Aetobatus narinari,18.276164,-64.925135
94,Aetobatus narinari,18.292695,-64.836568
95,Aetobatus narinari,25.197358,-77.329261
96,Aetobatus narinari,16.049996,-88.736796
97,Amphiprion ocellaris,-0.593638,130.299508
98,Aetobatus narinari,15.988788,-96.20833
99,Aetobatus narinari,-1.002893,-91.240434
100,Amphiprion ocellaris,-2.207674,130.379357
101,Forcipiger flavissimus,-14.74916,-145.26274
102,Aetobatus narinari,20.274671,-87.308175
103,Aetobatus narinari,-0.760409,-89.439137
104,Aetobatus narinari,-0.577725,-90.363731
105,Aetobatus narinari,15.682401,-96.166036
106,Aetobatus narinari,25.878448,-80.136594
107,Aetobatus narinari,16.390573,-86.716055
108,Hippocampus kuda,1.47319,125.234472
109,Forcipiger flavissimus,-8.574854,125.369509
110,Forcipiger flavissimus,-31.501111,159.065833
111,Aetobatus narinari,8.748135,-83.377867
112,Paracanthurus hepatus,-2.244373,130.555722
113,Aetobatus narinari,-0.832628,-89.765595
114,Amphiprion ocellaris,-0.535827,130.582834
115,Forcipiger flavissimus,-17.47761,-149.94006
116,Forcipiger flavissimus,-17.47761,-149.94006
117,Aetobatus narinari,15.606882,-96.075554
118,Aetobatus narinari,19.386775,-87.464391
119,Aetobatus narinari,20.271897,-87.342025
120,Aetobatus narinari,5.49713,-87.158992
121,Forcipiger flavissimus,21.285172,-157.99063
122,Forcipiger flavissimus,5.804052,73.294891
123,Aetobatus narinari,-20.276438,-40.323304
124,Forcipiger flavissimus,22.09644,-159.526124
125,Forcipiger flavissimus,26.206879,127.344766
126,Aetobatus narinari,17.699309,-88.084498
127,Amphiprion ocellaris,9.540404,123.751459
