Column,key,scientificName,decimalLatitude,decimalLongitude
2,2545565558,Chaetodon auriga,24.206997,35.431194
11,2557746473,Chelmon rostratus,4.595825,118.86434
19,2557776793,Heteractis magnifica,1.223017,103.845794
20,2557778253,Heteractis magnifica,1.223017,103.845794
21,2557778607,Heteractis magnifica,1.223017,103.845794
22,2557781089,Chaetodon ephippium,-16.79378,146.205207
23,2557781314,Chaetodon auriga,-16.584955,146.25004
24,2557799261,Chaetodon auriga,21.334661,-158.123977
25,2557814309,Heteractis magnifica,4.576259,118.948945
28,2558313534,Chaetodon larvatus,24.207428,35.431236
33,2563491010,Chaetodon auriga,4.312411,73.485512
35,2563498225,Chaetodon auriga,19.579175,-155.967864
39,2563512280,Chaetodon ephippium,21.288729,-157.862329
40,2563512288,Balistoides viridescens,4.313356,73.488061
46,2563536644,Chaetodon auriga,21.268833,-157.693164
47,2563540695,Chaetodon auriga,21.288592,-157.862195
52,2563559468,Chaetodon auriga,20.926337,-156.696767
55,2563571168,Chelmon rostratus,-9.538358,147.278837
62,2563586391,Chelmon rostratus,-9.533892,147.275925
63,2563586493,Chaetodon ephippium,21.291221,-157.865918
64,2563587324,Chaetodon ephippium,-9.533892,147.275925
66,2563618031,Heteractis magnifica,4.595825,118.86434
67,2563618412,Chaetodon ephippium,4.595825,118.86434
73,2565883778,Balistoides viridescens,7.42912,98.8957
74,2565883789,Balistoides viridescens,7.657,98.767
75,2565883801,Balistoides viridescens,7.42357,98.8915
77,2573833526,Balistoides viridescens,10.064547,99.840535
78,2573839677,Chaetodon auriga,21.872671,-159.454422
84,2574150085,Balistoides viridescens,15.349712,73.777944
86,2574183201,Chaetodon auriga,-28.125547,32.560804
90,2579238173,Chaetodon auriga,7.215753,99.060883
102,2580331110,Heteractis magnifica,7.202503,99.064325
106,2626307826,Chaetodon auriga,27.788139,34.221869
113,2573852766,Chaetodon auriga,-34.072634,151.147432
114,2573866308,Chaetodon auriga,19.579741,-155.967491
121,2573895888,Heteractis magnifica,6.541091,99.276124
122,2573896904,Balistoides viridescens,6.541091,99.276124
124,2573940155,Chelmon rostratus,1.215177,103.786166
128,2573961905,Heteractis magnifica,6.541091,99.276124
132,2573983793,Chaetodon auriga,19.637233,-155.997734
135,2574025920,Heteractis magnifica,6.541091,99.276124
145,2574156755,Chaetodon ephippium,19.579671,-155.967652
152,2574216183,Heteractis magnifica,6.531654,99.283676
156,2574272006,Heteractis magnifica,6.541091,99.276124
159,2574301723,Chaetodon auriga,19.579489,-155.967754
162,2574308799,Balistoides viridescens,-0.315797,73.427802
166,2576262377,Chaetodon auriga,19.478732,-155.933493
174,2576410384,Heteractis magnifica,6.53154,99.279557
177,2576437555,Chaetodon auriga,-33.799654,151.28141
190,2579220177,Chaetodon auriga,19.638471,-155.997348
191,2579265883,Chaetodon auriga,-7.953889,39.7975
192,2579370892,Hexabranchus sanguineus,-7.953889,39.791389
193,2580118233,Heteractis magnifica,-7.929153,39.791789
194,2580123457,Balistoides viridescens,0.745192,73.434302
196,2596059989,Chaetodon auriga,-36.894568,149.92332
197,2596121363,Balistoides viridescens,3.535678,72.910686
200,2596368677,Balistoides viridescens,25.046091,34.918838
201,2596389692,Chaetodon auriga,25.047179,34.917464
202,2597202251,Chaetodon auriga,-36.895784,149.923555
203,2597715026,Chaetodon auriga,27.90866,34.327955
204,2597760901,Balistoides viridescens,-21.028266,55.218298
205,2609325157,Heteractis magnifica,1.46072,125.224347
210,2619876078,Hexabranchus sanguineus,-1.021062,130.834808
211,2619914381,Chelmon rostratus,7.303145,99.256308
212,2619966323,Hexabranchus sanguineus,-1.021062,130.834808
213,2626265217,Hexabranchus sanguineus,-8.294532,115.614077
216,2576263763,Chaetodon auriga,-33.799377,151.29645
220,2576500052,Chaetodon auriga,-34.070636,151.140694
225,2579258533,Chaetodon speculum,-16.932856,145.984935
228,2579319939,Chaetodon auriga,-34.070695,151.14035
229,2579363613,Balistoides viridescens,-16.932023,145.986843
230,2579378049,Chaetodon auriga,-33.799792,151.293247
231,2580081019,Chaetodon speculum,-16.937766,146.202583
233,2580092189,Chaetodon auriga,-16.927944,145.98931
234,2580107179,Chelmon rostratus,-16.93516,145.982473
235,2580115176,Balistoides viridescens,-16.927944,145.98931
237,2580173397,Chelmon rostratus,-16.932367,145.985577
241,2580257926,Hexabranchus sanguineus,26.988611,33.899643
242,2580258562,Chaetodon auriga,-33.799601,151.296575
243,2580269302,Chaetodon ephippium,-16.887575,146.201584
244,2580285138,Chaetodon auriga,-34.070758,151.140263
246,2596051168,Chaetodon auriga,-33.800706,151.276707
248,2596086683,Chaetodon auriga,-14.66914,145.65965
249,2596108715,Chaetodon auriga,-34.069236,151.129874
250,2596119876,Chaetodon auriga,-21.217175,-159.829866
251,2596138523,Hexabranchus sanguineus,25.873596,34.423951
252,2596139801,Chaetodon ephippium,-14.66914,145.65965
253,2596145936,Heteractis magnifica,7.127249,134.28435
254,2596159951,Chaetodon auriga,-21.262139,-159.726338
255,2596201984,Balistoides viridescens,7.127249,134.28435
256,2596224776,Chaetodon auriga,-34.072856,151.147491
257,2596272537,Chaetodon auriga,8.739159,167.733395
258,2596291913,Chaetodon auriga,-21.262139,-159.726338
259,2596313473,Chaetodon auriga,-33.800018,151.297383
260,2596372039,Chaetodon auriga,-34.072502,151.147339
261,2596403581,Hexabranchus sanguineus,25.869706,34.421169
263,2596441886,Hexabranchus sanguineus,-4.657144,39.374976
264,2597693496,Chaetodon speculum,-22.012114,113.82972
265,2597721440,Chaetodon ephippium,-21.916764,113.918133
266,2597790857,Heteractis magnifica,7.13929,134.222948
267,2603282550,Chaetodon auriga,7.339502,134.459129
269,2603330852,Chelmon rostratus,-21.784832,114.150603
270,2603338840,Chelmon rostratus,-21.816404,114.193754
271,2603547304,Chaetodon auriga,7.339365,134.45932
272,2609174561,Chaetodon auriga,21.271859,-157.695537
273,2609267064,Chaetodon ephippium,7.320148,134.444313
276,2610995225,Hexabranchus sanguineus,1.464973,125.231646
282,2619924569,Hexabranchus sanguineus,17.522986,56.072121
288,2597886981,Chaetodon auriga,-33.799597,151.28131
291,2603323067,Chaetodon auriga,-33.800188,151.28009
293,2603343466,Chaetodon auriga,-33.806295,151.273877
294,2603426859,Chaetodon auriga,19.736615,-155.013772
297,2603517514,Chaetodon auriga,-33.800265,151.294039
298,2603547363,Chaetodon auriga,-33.799236,151.292708
299,2609176321,Chaetodon auriga,-33.086043,151.640922
301,2610948963,Chaetodon auriga,-33.084712,151.64015
304,2610970829,Chaetodon auriga,-33.80014,151.294
308,2611025784,Chaetodon auriga,-33.800228,151.294456
309,2611027004,Chaetodon auriga,-33.799972,151.279753
315,2611241029,Chaetodon auriga,-33.799734,151.297002
316,2611253699,Chaetodon auriga,-34.070864,151.140393
320,2611390319,Chaetodon auriga,-33.799658,151.29511
321,2611418427,Chaetodon auriga,-33.839759,151.253477
322,2619883863,Chaetodon auriga,-34.069461,151.129641
323,2619937903,Chaetodon auriga,-33.087167,151.641501
324,2620014494,Chelmon rostratus,4.595825,118.86434
325,2620027730,Chaetodon auriga,4.595825,118.86434
326,2620040177,Chaetodon auriga,-34.069126,151.130141
328,2620096737,Chaetodon speculum,4.595825,118.86434
330,2626136845,Chaetodon auriga,-34.069535,151.129435
348,2619991954,Chaetodon auriga,-34.072472,151.147387
351,2626105860,Chaetodon auriga,-33.800118,151.280028
359,2626275472,Chaetodon auriga,-33.799632,151.281277
362,2626297444,Chaetodon auriga,-33.604819,151.296994
367,2626322249,Chaetodon auriga,-33.605824,151.29417
368,2626334777,Chaetodon auriga,-33.800133,151.297222
373,2626396797,Chaetodon auriga,-8.476086,125.907869
378,2626434004,Chaetodon auriga,-33.83997,151.253394
382,2626468049,Chaetodon auriga,-33.839921,151.253295
386,2626516753,Chaetodon auriga,-33.086381,151.639778
390,2626546286,Chaetodon auriga,-33.800987,151.275497
397,2626610210,Chaetodon auriga,-33.839912,151.253397
399,2626632834,Chaetodon auriga,-33.800127,151.297343
401,2626650413,Chaetodon auriga,-34.059121,151.158928
405,2626681803,Chaetodon auriga,-33.800081,151.279863
415,1990434221,Hexabranchus sanguineus,5.87951,95.2561
416,1990434244,Balistoides viridescens,5.8836,95.2155
431,1990528483,Chaetodon auriga,7.923865,98.271995
439,1990559780,Chaetodon auriga,13.472434,144.7034
440,1990560179,Chaetodon auriga,13.472196,144.703588
447,1990579817,Chaetodon auriga,21.27209,-157.695605
462,1993736612,Balistoides viridescens,1.495022,125.23802
464,1993746690,Chelmon rostratus,-2.013705,130.621461
469,2005338120,Chaetodon ephippium,-0.558657,130.692257
470,2005351729,Chaetodon speculum,-0.592218,130.298896
471,2005372659,Balistoides viridescens,-22.312181,166.434444
472,2005373368,Chaetodon auriga,-22.334219,166.408989
475,2006051799,Balistoides viridescens,-0.806552,130.495888
477,2012961600,Chaetodon auriga,-2.110608,130.400724
478,2013705962,Balistoides viridescens,-0.504867,130.734333
479,2013719890,Balistoides viridescens,-2.214144,130.574545
480,2028473240,Chaetodon speculum,-2.031221,130.759974
481,2028511525,Chaetodon speculum,-0.569482,130.661152
482,2234792590,Balistoides viridescens,-2.11715,130.883509
485,2238994015,Hexabranchus sanguineus,11.335846,124.115636
486,2242951914,Chaetodon speculum,-0.50884,130.448683
487,2242968193,Chaetodon ephippium,-0.50884,130.448683
490,2244322288,Balistoides viridescens,-0.593638,130.299508
492,2252047344,Balistoides viridescens,-0.588368,130.308077
498,2397596540,Chaetodon speculum,-2.225763,130.548343
520,2423046065,Heteractis magnifica,-2.207674,130.379357
521,2423087018,Balistoides viridescens,-2.207674,130.379357
522,2423156894,Chaetodon auriga,-2.210845,130.456473
525,2432610215,Hexabranchus sanguineus,-25.1,152.5
527,2451594727,Chaetodon auriga,-15.036449,40.732331
530,2465248529,Balistoides viridescens,-2.009922,130.639598
531,2510883553,Balistoides viridescens,-14.74916,-145.26274
532,2510886396,Chaetodon ephippium,-14.74916,-145.26274
533,2510887997,Chaetodon auriga,-14.74916,-145.26274
548,2557756387,Balistoides viridescens,5.239604,72.993297
549,2563502242,Heteractis magnifica,4.312468,73.485598
557,2576259652,Hexabranchus sanguineus,9.100774,123.148329
582,2005293362,Chaetodon auriga,-33.916208,151.263801
583,2005322673,Balistoides viridescens,-6.171389,39.146667
599,2013754098,Balistoides viridescens,-0.769883,130.7456
603,2028509356,Chaetodontoplus conspicillatus,-31.501111,159.065833
604,2028517347,Chaetodon auriga,-31.539167,159.065278
605,2234734595,Chelmon rostratus,11.335846,124.115636
608,2236853260,Chaetodon speculum,-0.771583,130.7495
615,2251876831,Chaetodon speculum,1.618025,124.760612
616,2251946852,Heteractis magnifica,-2.244373,130.555722
617,2251979815,Balistoides viridescens,-2.244373,130.555722
618,2252046843,Chaetodon ephippium,-2.244373,130.555722
619,2252061834,Chaetodon speculum,-2.244373,130.555722
623,2331947104,Hexabranchus sanguineus,-8.29502,115.610504
674,2491313645,Chaetodon auriga,-17.47761,-149.94006
675,2491320635,Chaetodon ephippium,-17.47761,-149.94006
680,2557754738,Chaetodon auriga,5.239604,72.993297
684,2596337523,Balistoides viridescens,-20.348404,57.552152
687,2012989046,Chaetodon auriga,21.284336,-157.84288
688,2012998514,Chaetodon auriga,-34.072924,151.147235
689,2012999269,Chaetodon auriga,-34.071747,151.147423
690,2013013298,Chaetodon auriga,-34.071515,151.141442
693,2013703923,Chaetodon auriga,21.285063,-157.843155
694,2013737442,Chaetodon auriga,-27.162452,153.367999
695,2013738388,Chaetodon auriga,5.804084,73.294951
696,2013744140,Chelmon rostratus,-27.162452,153.367999
697,2013757254,Balistoides viridescens,5.803877,73.292859
701,2028445701,Chaetodon speculum,-27.162452,153.367999
703,2028449428,Chaetodon auriga,21.285172,-157.99063
704,2028451779,Chaetodon auriga,29.509287,34.923618
705,2028457767,Chaetodon auriga,-33.086403,151.640287
708,2028468359,Chaetodon ephippium,-17.502507,-149.764655
710,2028482564,Chaetodon auriga,-33.086423,151.640379
713,2028500526,Chaetodon auriga,-16.541646,-151.727373
714,2028510682,Balistoides viridescens,-14.96456,-147.636878
715,2028514591,Chaetodon auriga,20.798363,-156.331925
723,2234765931,Chelmon rostratus,1.22579,103.746317
726,2234774436,Chaetodon auriga,20.633522,-156.498427
729,2234797878,Chaetodon auriga,-24.487838,113.410101
732,2235481864,Chaetodon auriga,20.711029,-156.446952
733,2235505747,Chaetodon auriga,-19.128747,146.877807
734,2235507732,Chelmon rostratus,-19.128747,146.877807
735,2235508762,Chaetodon auriga,-33.799379,151.293961
739,2235543218,Chaetodon auriga,-33.086242,151.640053
754,2237463187,Chaetodon auriga,21.266897,-157.692621
768,2432614077,Chaetodon auriga,-24.5,113.4
769,2451599447,Chelmon rostratus,11.316771,119.424341
770,2465370617,Hexabranchus sanguineus,-20.028426,57.529245
771,2465371634,Hexabranchus sanguineus,-20.029313,57.528988
772,2492106699,Chaetodon auriga,-17.47462,-149.75197
773,2492107711,Chaetodon ephippium,-17.56787,-149.93854
774,2492107769,Chaetodon ephippium,-17.56787,-149.93854
775,2492107777,Chaetodon auriga,-17.56787,-149.93854
776,2492107791,Chaetodon auriga,-17.47761,-149.94006
777,2492108728,Chaetodon ephippium,-17.56486,-149.75036
778,2492108914,Chaetodon ephippium,-17.47462,-149.75197
779,2492111166,Chaetodon auriga,-17.47761,-149.94006
780,2492111801,Chaetodon auriga,-17.56486,-149.75036
781,2492111817,Balistoides viridescens,-17.56486,-149.75036
782,2492139801,Chaetodon auriga,-17.47613,-149.84601
783,2492140023,Chaetodon auriga,-17.56486,-149.75036
784,2492140757,Chaetodon auriga,-17.56787,-149.93854
785,2492145825,Chaetodon auriga,-17.56486,-149.75036
786,2492146747,Chaetodon auriga,-17.47761,-149.94006
813,2557756369,Balistoides viridescens,-8.727807,115.544423
814,2557756948,Chaetodon ephippium,-8.727807,115.544423
815,2557757756,Chaetodon auriga,-8.727807,115.544423
816,2557758466,Chaetodon speculum,-8.727807,115.544423
824,2596080081,Heteractis magnifica,-0.408998,130.698214
829,2603278593,Balistoides viridescens,-16.514579,-145.46221
831,2235531250,Chaetodon auriga,-34.072121,151.147387
835,2236867212,Chaetodon auriga,-33.991128,151.232938
836,2236884919,Chaetodon auriga,-4.648725,39.324074
838,2236902952,Chaetodon auriga,-34.071908,151.146351
839,2236904831,Chaetodon auriga,-34.072156,151.147017
840,2236905132,Chaetodon auriga,-34.073631,151.147875
844,2236919099,Chaetodon auriga,-34.073213,151.147425
850,2237152461,Chaetodon auriga,25.338778,34.737335
851,2237152673,Chaetodon auriga,25.381126,34.716957
852,2237153126,Chaetodon auriga,25.941833,34.389805
857,2237432814,Chaetodon auriga,-34.072107,151.147458
858,2237432914,Chaetodon auriga,-34.07328,151.14735
860,2237463210,Balistoides viridescens,25.307192,34.861585
861,2237481619,Chaetodon auriga,-34.072576,151.147472
863,2237490789,Chaetodon auriga,25.342368,34.79377
866,2237497934,Chaetodon auriga,-20.521215,166.572348
867,2237498850,Chelmon rostratus,1.225458,103.746511
868,2237524986,Chaetodon auriga,-33.44474,151.44929
869,2237526483,Chaetodon auriga,-34.069843,151.140533
870,2237529942,Chaetodon auriga,25.4689,34.680997
871,2237797998,Balistoides viridescens,7.25,98.53
875,2238836858,Chaetodon ephippium,-17.73424,177.126528
889,2238892353,Chaetodon auriga,-33.085714,151.639957
890,2238892906,Chaetodon auriga,-34.068709,151.130158
891,2238933347,Chaetodon speculum,22.325556,114.353056
896,2238968696,Chaetodon auriga,-9.125482,159.311747
899,2238996813,Balistoides viridescens,-17.73424,177.125541
900,2239000615,Balistoides viridescens,-9.12524,159.311348
901,2239007677,Chaetodon speculum,-9.026502,159.0434
904,2239028087,Chaetodon auriga,22.313008,114.352868
905,2239028445,Chaetodon auriga,22.343235,114.253709
906,2239115352,Chaetodon auriga,26.149008,34.258354
907,2242343680,Chaetodon auriga,25.468094,34.681519
908,2242343937,Chaetodon auriga,26.149008,34.258354
924,2242812914,Chelmon rostratus,-8.58079,157.88252
927,2242832946,Chaetodon ephippium,-8.46532,158.06836
928,2242839559,Chaetodon auriga,-17.734322,177.126056
930,2242877927,Chaetodon speculum,-8.75643,158.279832
931,2242937730,Chelmon rostratus,-9.123865,160.154987
932,2242962675,Hexabranchus sanguineus,-20.434393,57.728239
934,2244226145,Balistoides viridescens,-16.887788,146.191897
935,2244232895,Hexabranchus sanguineus,-4.658023,39.379707
936,2251907660,Chaetodon auriga,24.215412,35.668201
937,2251907990,Hexabranchus sanguineus,24.160883,35.698173
938,2265884656,Heteractis magnifica,7.428672,98.893718
939,2273209587,Heteractis magnifica,10.938051,72.304444
940,2283015860,Hexabranchus sanguineus,-8.533745,119.773177
941,2311352118,Balistoides viridescens,7.596938,98.364677
947,2429343618,Balistoides viridescens,-21.783112,35.456248
948,2429343643,Chaetodon auriga,-21.783112,35.456248
949,2432510127,Chaetodon auriga,-14.689836,145.443257
950,2432510287,Chaetodon auriga,-14.697198,145.452698
953,2432610862,Chaetodon auriga,-21.6,167.9
954,2432614008,Chaetodon speculum,-22.7,167.4
961,2510887334,Chaetodon auriga,-23.33399,-149.43112
970,2544924894,Chaetodon auriga,20.582429,-156.619652
971,2544924928,Chaetodon auriga,20.558879,-156.66655
972,2544979790,Chaetodon ephippium,20.737005,-156.919045
973,2545011622,Chaetodon auriga,20.74858,-156.462764
974,2545011623,Chaetodon auriga,20.74858,-156.462764
975,2545012200,Chaetodon auriga,20.873701,-156.689116
976,2545012298,Chaetodon auriga,20.826844,-156.104891
977,2545012402,Chaetodon auriga,20.824815,-156.074853
978,2545106961,Chaetodon auriga,21.176712,-156.740678
979,2545109695,Chaetodon auriga,21.161218,-156.706346
980,2545109778,Chaetodon auriga,21.161218,-156.706346
981,2545109821,Chaetodon auriga,21.173522,-156.93772
982,2545110055,Chaetodon auriga,21.17497,-156.774609
983,2545110086,Chaetodon auriga,21.161807,-156.712009
984,2549970002,Heteractis magnifica,9.878611,123.773056
987,2597203361,Chaetodon auriga,-36.895896,149.923493
990,2610947756,Hexabranchus sanguineus,20.913581,-156.899182
991,2626643452,Chaetodon auriga,20.999777,-156.666672
992,2239014395,Chaetodon auriga,-34.072153,151.147461
993,2239015718,Chaetodon auriga,-34.073039,151.147466
995,2239036895,Chaetodon auriga,-34.072654,151.147496
996,2242334229,Balistoides viridescens,-0.693495,73.151093
997,2242799423,Chaetodon auriga,-34.073022,151.147489
1000,2242881643,Chaetodon auriga,19.575889,-155.969189
1009,2243357639,Balistoides viridescens,-0.693495,73.151093
1013,2244240101,Chaetodon auriga,-34.07223,151.147539
1014,2244240627,Chaetodon auriga,-34.071658,151.147017
1015,2244254290,Chaetodon auriga,-33.799621,151.296669
1016,2244254540,Chaetodon auriga,-34.072026,151.147455
1021,2244324367,Heteractis magnifica,1.224982,103.75245
1022,2244325054,Chaetodon auriga,-33.919509,151.263659
1030,2251966064,Heteractis magnifica,-17.626285,177.249734
1031,2252013406,Chaetodon auriga,-33.08673,151.64112
1034,2273254714,Chaetodon auriga,12.039338,92.986636
1035,2273261447,Chaetodon auriga,27.536484,33.796773
1036,2273262498,Chaetodon larvatus,27.536484,33.796773
1037,2273275399,Balistoides viridescens,27.355833,33.908056
1044,2397593406,Chaetodon auriga,-33.800019,151.281302
1047,2423552080,Chaetodon auriga,-22.034412,113.912462
1052,2465312531,Hexabranchus sanguineus,-20.02383,57.533022
1053,2487614850,Chaetodon auriga,-17.47761,-149.94006
1054,2487617872,Chaetodon ephippium,-17.47761,-149.94006
1055,2487617925,Balistoides viridescens,-17.47761,-149.94006
1057,2544847298,Chaetodon auriga,20.068805,-155.393637
1058,2544847402,Chaetodon auriga,20.001223,-155.250042
1059,2544847656,Chaetodon auriga,19.968566,-155.20143
1060,2544848150,Chaetodon auriga,20.014558,-155.269487
1061,2544850288,Chaetodon auriga,20.034048,-155.318917
1062,2544921950,Chaetodon auriga,20.513914,-156.689214
1063,2544922013,Chaetodon auriga,20.514606,-156.61668
1064,2544922226,Chaetodon auriga,20.504288,-156.657697
1065,2544923470,Chaetodon auriga,20.501113,-156.666899
1066,2544923929,Chaetodon auriga,20.513914,-156.689214
1067,2545108117,Chaetodon auriga,21.11971,-157.303971
1068,2545108150,Chaetodon auriga,21.11971,-157.303971
1069,2545110658,Chaetodon ephippium,21.039227,-156.871426
1070,2545110659,Chaetodon auriga,21.039227,-156.871426
