screenshot name,analyzed,contains unidentifiable organisms,reviewer,new-ID_species,new-unID,total-to-point (sum($E$2:etc)),unID-to-point(sum($F$2:etc))
SS_00-01-04_GBR.png,yes,,Etienne,1,0,1,0
SS_00-01-12_GBR.png,yes,,Etienne,1,0,2,0
SS_00-01-30_GBR.png,yes,,Etienne,5,0,7,0
SS_00-01-31_GBR.png,yes,,Etienne,1,0,8,0
SS_00-01-33_GBR.png,yes,,Etienne,3,1,12,1
SS_00-01-34_GBR.PNG,yes,,Etienne,0,1,13,2
SS_00-01-36_GBR.PNG,yes,,Etienne,0,,13,2
SS_00-01-37_GBR.png,yes,,Etienne,0,1,14,3
SS_00-01-48_GBR.PNG,yes,,Etienne,,,14,3
SS_00-02-05_GBR.PNG,yes,,Etienne,,,14,3
SS_00-02-08_GBR.PNG,yes,,Etienne,,,14,3
SS_00-02-16_GBR.PNG,yes,,Etienne,,,14,3
SS_00-02-44_GBR.PNG,yes,,Etienne,,,14,3
SS_00-03-04_GBR.PNG,yes,,Etienne,,,14,3
SS_00-03-13_GBR.PNG,yes,,Etienne,1,0,15,3
SS_00-05-28_GBR.PNG,yes,,Etienne,,,15,3
SS_00-05-34_GBR.PNG,yes,,Etienne,,,15,3
SS_00-05-42_GBR.PNG,yes,,Etienne,,,15,3
SS_00-05-53_GBR.PNG,yes,,Etienne,,,15,3
SS_00-06-47_GBR.PNG,yes,,Etienne,,,15,3
SS_00-07-18_GBR.PNG,yes,,Etienne,,,15,3
SS_00-07-26_GBR.PNG,yes,,Etienne,,,15,3
SS_00-07-35_GBR.PNG,yes,,Etienne,,,15,3
SS_00-07-40_GBR(2).PNG,yes,,Etienne,,,15,3
SS_00-07-40_GBR.PNG,yes,,Etienne,3,0,18,3
SS_00-07-41_GBR.PNG,yes,,Etienne,,,18,3
SS_00-07-43_GBR.PNG,yes,,Etienne,,,18,3
SS_00-07-49_GBR.PNG,yes,,Etienne,,,18,3
SS_00-07-51_GBR.PNG,yes,,Etienne,1,0,19,3
SS_00-07-53_GBR.PNG,yes,,Etienne,,,19,3
SS_00-07-56_GBR.PNG,yes,,Etienne,,,19,3
SS_00-07-58_GBR.PNG,yes,,Etienne,,,19,3
SS_00-08-01_GBR.PNG,yes,,Etienne,,,19,3
SS_00-08-03_GBR.PNG,yes,,Etienne,,,19,3
SS_00-08-04_GBR.PNG,yes,,Etienne,1,0,20,3
SS_00-08-09_GBR.PNG,yes,,Etienne,,,20,3
SS_00-08-12_GBR.PNG,yes,,Etienne,,,20,3
SS_00-08-53_GBR.PNG,yes,,Etienne,1,0,21,3
SS_00-09-02_GBR.PNG,yes,,Etienne,,,21,3
SS_00-09-47_GBR.PNG,yes,,Etienne,,,21,3
SS_00-09-54_GBR.PNG,yes,,Etienne,,,21,3
SS_00-09-57_GBR.PNG,yes,,Etienne,,,21,3
SS_00-10-02_GBR.PNG,yes,,Etienne,,,21,3
SS_00-10-08_GBR.PNG,yes,,Etienne,2,0,23,3
SS_00-10-13_GBR.PNG,yes,,Etienne,,,23,3
SS_00-10-20_GBR.PNG,yes,,Etienne,,,23,3
SS_00-10-39_GBR.PNG,yes,,Etienne,,,23,3
SS_00-10-42_GBR.PNG,yes,,Etienne,,,23,3
SS_00-10-43_GBR.PNG,yes,,Etienne,,,23,3
SS_00-10-47_GBR.PNG,yes,,Etienne,1,0,24,3
SS_00-11-18_GBR.PNG,yes,,Etienne,,,24,3
SS_00-11-20_GBR.PNG,yes,,Etienne,,,24,3
SS_00-11-21_GBR.PNG,yes,,Etienne,1,0,25,3
SS_00-11-22_GBR.PNG,yes,,Etienne,,,25,3
SS_00-11-24_GBR.PNG,yes,,Etienne,,,25,3
SS_00-11-27_GBR(2).PNG,yes,,Etienne,,,25,3
SS_00-11-27_GBR.PNG,yes,,Etienne,,,25,3
SS_00-11-28_GBR.PNG,yes,,Etienne,,,25,3
SS_00-11-29_GBR.PNG,yes,,Etienne,1,0,26,3
SS_00-11-31_GBR.PNG,yes,,Etienne,,,26,3
SS_00-11-32_GBR.PNG,yes,,Etienne,,,26,3
SS_00-11-33_GBR.PNG,yes,,Etienne,,,26,3
SS_00-11-36_GBR.PNG,yes,,Etienne,,,26,3
SS_00-11-38_GBR.PNG,yes,,Etienne,,,26,3
SS_00-11-40_GBR(2).PNG,yes,,Etienne,,,26,3
SS_00-11-40_GBR.PNG,yes,,Etienne,,,26,3
SS_00-11-42_GBR.PNG,yes,,Etienne,1,3,30,6
SS_00-11-43_GBR.PNG,yes,yes,Jenna,1,,31,6
SS_00-11-44_GBR.PNG,yes,yes,Jenna,0,4,35,10
SS_00-11-47_GBR.PNG,yes,yes,Jenna,0,2,37,12
SS_00-11-49_GBR(2).PNG,yes,yes,Jenna,0,4,41,16
