taxon,common name,scientific name,photograph,DO count,EAC count,FG count,GBR count,T count,SH count,SL count,SPO count,screenshot
invertebrate,Giant Squid,Architeuthis dux,yes,,,,,,,,,
invertebrate,Common Starfish,Asterias rubens,yes,,,,,,,,,
invertebrate,European Green Crab,Carcinus maenas,yes,,,,,,1,,,SS_00-57-34_SH.PNG/ SS_01-21-50_SH.PNG
invertebrate,Pacific Sea Nettle,Chrysaora fuscescens,yes,,,,,,,,,
invertebrate,Lion's Mane Jellyfish,Cyanea capillata,yes,,,,,,,,1,SS_00-45-53_SPO.PNG/SS_00-45-55_SPO.PNG
invertebrate,Humboldt Squid,Dosidicus gigas,yes,,,,,,,,,
invertebrate,Sea Urchin,Echinoidea,yes,,,,,,,,,
invertebrate,Antarctic Krill,Euphausia superba,yes,,,,,,,,1,SS_01-06-51_SPO.PNG
invertebrate,Squat Lobster,Galatheoidea,yes,,,,1,,,,,SS_00-01-33_GBR.png/SS_00-01-34_GBR.png/SS_00-01-36_GBR.png/SS_00-01-37_GBR.png[unsure]
invertebrate,Magnificent Sea Anemone,Heteractis magnifica,yes,,,,1,,,,,SS_00-01-04_GBR.png
invertebrate,Spanish Dancer,Hexabranchus sanguineas,yes,,,,1,,,,,SS_00-11-42_GBR
invertebrate,American Lobster,Homarus americanus,yes,,,,,,,,1,SS_00-56-44_SPO.PNG
invertebrate,Common Lobster,Homarus gammarus,yes,,,,,,,,,
invertebrate,Pacific Cleaner Shrimp,Lysmata amboinensis,yes,1,,,,,1,,,SS_00-27-19_DO.PNG/SS_01-33-20_SH.PNG
invertebrate,Eastern Pacific Red Octopus,Octopus rubescens,yes,,,,,,,,,
invertebrate,Flapjack Octopus,Opisthoteuthis californiana,yes,,,,,,,,,
invertebrate,Ochre Starfish,Pisaster ochraceus,yes,1,,,,,1,,,SS_00-26-55_DO.PNG/SS_01-33-20_SH.PNG
invertebrate,Sea Sponge,Porifera,yes,,,,1,,,,,SS_00-01-30_GBR.png
invertebrate,Green Spot Mandarin,Synchiropus picturatus,yes,,,,,1,,1,,SS_00-21-05_SL.PNG/SS_01-40-12_credit_T.PNG
cartilaginous fish,Spotted Eagle Ray,Aetobatus narinari,yes,,,,1,,,,,SS_00-10-08_GBR.PNG
cartilaginous fish,Great White Shark,Carcharodon carcharias,yes,,,,,,,1,1,SS_00-19-00_SPO.PNG/SS_00-20-34_SL.PNG
cartilaginous fish,Shortfin Mako Shark,Isurus oxyrinchus,yes,,,,,,,1,,SS_00-20-34_SL.PNG
cartilaginous fish,Whale Shark,Rhincodon typus,yes,,,,,,,,,
cartilaginous fish,Great Hammerhead,Sphyrna mokarran,yes,,,,,,,1,,SS_00-20-34_SL.PNG
bony fish,Blue Groper,Achoerodus viridis,yes,,,,,,,,,
bony fish,Common/Ocellaris Clownfish,Amphiprion ocellaris,yes,1,,,1,1,1,1,1,SS_00-01-12_GBR.png/SS_00-19-00_SPO.PNG/SS_00-26-48_DO.PNG/SS_00-34-13_T.PNG/SS_00-40-37_SPO.PNG[1genereric-moonfish]/SS_01-17-34_SH.PNG
bony fish,Titan Triggerfish,Balistoides viridescens,no,,,,1,,,,,SS_00-11-21_GBR.PNG
bony fish,Bigeye Trevally,Caranx sexfasciatus,yes,,,,,,,,,
bony fish,Saddle Butterflyfish,Chaetodon ephippium,yes,,,,1,,,,,SS_00-10-47_GBR.PNG
bony fish,Threadfin Butterflyfish,Chaetodon auriga,yes,,,,1,,,,,SS_00-01-30_GBR.png/SS_00-01-31_GBR.png/SS_00-01-33_GBR.png
bony fish,Red-Tailed Butterflyfish,Chaetodon collare,yes,,,,,,,,,
bony fish,Ornate Butterflyfish,Chaetodon ornatissimus,yes,,,,,,,,,
bony fish,Orangeface Butterflyfish,Chaetodon larvatus,no,,,,1,,,,,SS_00-01-30_GBR.png
bony fish,Ovalspot Butterflyfish,Chaetodon speculum,no,,,,1,,,,,SS_00-07-40_GBR.PNG
bony fish,Conspicuous Angelfish,Chaetodontoplus conspicillatus,no,,,,1,,,,,SS_00-07-40_GBR.PNG
bony fish,Long-beaked Coralfish,Chelmon rostratus,no,,,,1,,,,,SS_00-08-04_GBR.PNG
bony fish,Black-Axil Chromis,Chromis atripectoralis,yes,,,,1,,,,,SS_00-07-40_GBR.PNG
bony fish,Carpet Eel-Blenny,Congrogadus subdecens,yes,,,,,,,,,
bony fish,Bluefin Trevally,Caranx melampygus,yes,,,,,,,,,
bony fish,Humpback Grouper,Cromileptes altivelis,yes,,,1,,,1,,,SS_01-24-30_SH.PNG/SS_01-25-16_SH.PNG/SS_01-26-22_FG.PNG/SS_01-26-35_FG.PNG
bony fish,Yellow-Eyed Surgeonfish,Ctenochaetus strigosus,yes,,,,1,,,,,SS_00-01-30_GBR.png/SS_00-01-31_GBR.png/SS_00-01-33_GBR.png/SS_00-01-34_GBR.png[unsure]
bony fish,Blacktail Damselfish,Dascyllus melanurus,yes,1,,,,,1,,,SS_00-26-48_DO.PNG/SS_01-33-20_SH.PNG
bony fish,Long Spine Porcupinefish,Diodon holocanthus,yes,1,,,,,1,,,SS_00-26-48_DO.PNG/SS_01-33-20_SH.PNG
bony fish,Pacific Goliath Grouper,Epinephelus quinquefasciatus,yes,,,,,,,,,
