taxon,common name,scientific name,photograph,total count
invertebrate,Giant Squid,Architeuthis dux,yes,
invertebrate,Common Starfish,Asterias rubens,yes,
invertebrate,European Green Crab,Carcinus maenas,yes,
invertebrate,Pacific Sea Nettle,Chrysaora fuscescens,yes,
invertebrate,Lion's Mane Jellyfish,Cyanea capillata,yes,
invertebrate,Humboldt Squid,Dosidicus gigas,yes,
invertebrate,Sea Urchin,Echinoidea,yes,
invertebrate,Antarctic Krill,Euphausia superba,yes,
invertebrate,Magnificent Sea Anemone,Heteractis magnifica,yes,
invertebrate,Spanish Dancer,Hexabranchus sanguineas,yes,
invertebrate,American Lobster,Homarus americanus,yes,
invertebrate,Common Lobster,Homarus gammarus,yes,
invertebrate,Pacific Cleaner Shrimp,Lysmata amboinensis,yes,
invertebrate,Eastern Pacific Red Octopus,Octopus rubescens,yes,
invertebrate,Flapjack Octopus,Opisthoteuthis californiana,yes,
invertebrate,Ochre Starfish,Pisaster ochraceus,yes,
invertebrate,Sea Sponge,Porifera,yes,
cartilaginous fish,Spotted Eagle Ray,Aetobatus narinari,yes,
cartilaginous fish,Great White Shark,Carcharodon carcharias,yes,
cartilaginous fish,Shortfin Mako Shark,Isurus oxyrinchus,yes,
cartilaginous fish,Whale Shark,Rhincodon typus,,
cartilaginous fish,Great Hammerhead,Sphyrna mokarran,,
bony fish,Australian Sawtail,Prionurus microlepidotus,,
bony fish,Blue Groper,Achoerodus,,
bony fish,Common/Ocellaris Clownfish,Amphiprion ocellaris,,
bony fish,Bigeye Trevally,Caranx sexfasciatus,,
bony fish,Saddle Butterflyfish,Chaetoden ephippium,,
bony fish,Red-Tailed Butterflyfish,Chaetodon Collare,,
bony fish,Ornate Butterflyfish,Chaetodon ornatissimus,,
bony fish,Threadfin Butterflyfish,Chaetodon auriga,,
bony fish,Black-Axil Chromis,Chromis atripectoralis,,
bony fish,Carpet Eel-Blenny,Congrogadus subdecens,,
bony fish,Bluefin Trevally,Craranx melampygus,,
bony fish,Humpback Grouper,Cromileptes altivelis,,
bony fish,Yellow-Eyed Surgeonfish,Ctenochaetus strigosus,,
bony fish,Blacktail Damselfish,Dascyllus melanurus,,
bony fish,Long Spine Porcupinefish,Diodon holocanthus,,
bony fish,Pacific Goliath Grouper,Epinephelus quinquefasciatus,,
bony fish,Yellow Longnose Butterflyfish,Forcipiger flavissimus,,
bony fish,Royal Gramma Fish,Gramma loreto,,
bony fish,Common Seahorse,Hippocampus kuda,,
bony fish,Barramundi,Lates calcarifer,,
bony fish,Striped Trumpeter,Latris lineata,,
bony fish,Humpback Anglerfish,Melanocetus johnsonii,,
bony fish,Ocean Sunfish,Mola mola,,
bony fish,Flame Hawkfish,Neocirrhitus armatus,,
bony fish,Regal Blue Tang,Paracanthurus hepatus,,
bony fish,Kelp Bass,Paralabrax clathratus,,
bony fish,European Flounder/Flatfish,Platichthys flesus,,
bony fish,Harlequin Sweetlips,Plectorhinchus chaetodonoides,,
bony fish,Oriental Sweetlips,Plectorhinchus vittatis,,
bony fish,RoyalAngelfish,Pygoplites diancathus,,
bony fish,Rainbow Parrotfish,Scarus guacamaia,,
bony fish,Spotted Scat,Scatophagus argus,,
bony fish,Great Barracuda,Sphyraena barracuda,,
bony fish,Swordfish,Xiphias gladius,,
bony fish,Moorish Idol,Zanclus cornutus,,
bony fish,Yellow Tang,Zebrasoma flavescens,,
reptile,Green Sea Turtle,Chelonia mydas,,
bird,Kelp Gull,Larus dominicanus,,
bird,Brown Pelican,Pelecanus occidentalis,,
mammal,Blue Whale,Balaenoptera musculus,,
mammal,Beluga Whale,Delphinapterus leucas,,
mammal,Sea Otter,Enhydra lutris,,
mammal,Humpback Whale,Megaptera novaeangliae,,
mammal,Common Bottlenose Dolphin,Tursiops truncatus,,
mammal,California Sea Lion,Zalophus californianus,,
